trade_date,513100.SS,513100.SS_fact,513100.SS_ln,513100.SS_base,513100.SS_avgs128,513100.SS_avgs32,518800.SS,518800.SS_fact,518800.SS_ln,518800.SS_base,518800.SS_avgs128,518800.SS_avgs32,501018.SS,501018.SS_fact,501018.SS_ln,501018.SS_base,501018.SS_avgs128,501018.SS_avgs32,160723.SZ,160723.SZ_fact,160723.SZ_ln,160723.SZ_base,160723.SZ_avgs128,160723.SZ_avgs32,601398.SS,601398.SS_fact,601398.SS_ln,601398.SS_base,601398.SS_avgs128,601398.SS_avgs32,601988.SS,601988.SS_fact,601988.SS_ln,601988.SS_base,601988.SS_avgs128,601988.SS_avgs32,601939.SS,601939.SS_fact,601939.SS_ln,601939.SS_base,601939.SS_avgs128,601939.SS_avgs32,601288.SS,601288.SS_fact,601288.SS_ln,601288.SS_base,601288.SS_avgs128,601288.SS_avgs32,588000.SS,588000.SS_fact,588000.SS_ln,588000.SS_base,588000.SS_avgs128,588000.SS_avgs32,513180.SS,513180.SS_fact,513180.SS_ln,513180.SS_base,513180.SS_avgs128,513180.SS_avgs32
202608051500,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051431,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051400,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051331,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051100,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051031,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608051000,2.267,1,3.128067079456402,1.0,1.1293974903135888,1.4772372436758425,9.054,1,3.53880789581814,1.0,1.1542520101378078,1.5689411564833085,1.926,1,3.1135153092103747,1.0,1.1283204239510187,1.4733233997898623,2.058,1,3.046565339353223,1.0,1.1243290802308215,1.4585785028163627,7.52,1,2.624535622280641,1.0,1.0989075192167113,1.3647469059771706,5.73,1,2.5804262756083807,1.0,1.096207305414335,1.3547936374840055,9.96,1,2.7750012686451653,1.0,1.108046965914725,1.3984574848542175,6.48,1,3.1743569684666193,1.0,1.1323633477246717,1.4881297304952374,1.786,1,2.4925505718991103,1.0,1.0904342365064328,1.3336325623069858,0.624,1,1.841030518234838,1.0,1.0510778881967766,1.1884014804730552
202608050931,2.259,1,3.1245319454168765,1.0,1.1293974903135888,1.4772372436758425,8.87,1,3.5182760431258604,1.0,1.1542520101378078,1.5689411564833085,1.87,1,3.0840084267009362,1.0,1.1283204239510187,1.4733233997898623,2.02,1,3.0279282133544787,1.0,1.1243290802308215,1.4585785028163627,7.63,1,2.639057329615259,1.0,1.0989075192167113,1.3647469059771706,5.8,1,2.5925686624341058,1.0,1.096207305414335,1.3547936374840055,10.09,1,2.787969031414176,1.0,1.108046965914725,1.3984574848542175,6.59,1,3.191189806616852,1.0,1.1323633477246717,1.4881297304952374,1.706,1,2.4467235385142905,1.0,1.0904342365064328,1.3336325623069858,0.618,1,1.8313686073231012,1.0,1.0510778881967766,1.1884014804730552
202608061500,2.244,1,3.11786969559146,1.0,1.250328021593971,1.8452201465731062,9.217,1,3.5566508518159,1.0,1.3004499168444907,2.0150895905373307,1.979,1,3.1406616624548693,1.0,1.2506345631127127,1.8470661749791688,2.087,1,3.060558330036429,1.0,1.2421280233196919,1.818046235472887,7.57,1,2.6311625517682504,1.0,1.1920660121403477,1.648704725838974,5.79,1,2.5908430364666364,1.0,1.1870559869166872,1.631866198888991,10.11,1,2.7899492300810382,1.0,1.2102550861439147,1.7102955051568982,6.5,1,3.1774386350040276,1.0,1.2567282449986898,1.8670033950142506,1.794,1,2.4970198530814076,1.0,1.1757955641874505,1.5939591115158471,0.61,1,1.8183391070327675,1.0,1.0978251452105043,1.3299820751361646
202608061431,2.244,1,3.11786969559146,1.0,1.250328021593971,1.8452201465731062,9.217,1,3.5566508518159,1.0,1.3004499168444907,2.0150895905373307,1.979,1,3.1406616624548693,1.0,1.2506345631127127,1.8470661749791688,2.087,1,3.060558330036429,1.0,1.2421280233196919,1.818046235472887,7.57,1,2.6311625517682504,1.0,1.1920660121403477,1.648704725838974,5.79,1,2.5908430364666364,1.0,1.1870559869166872,1.631866198888991,10.11,1,2.7899492300810382,1.0,1.2102550861439147,1.7102955051568982,6.5,1,3.1774386350040276,1.0,1.2567282449986898,1.8670033950142506,1.794,1,2.4970198530814076,1.0,1.1757955641874505,1.5939591115158471,0.61,1,1.8183391070327675,1.0,1.0978251452105043,1.3299820751361646
