,equity
2023-09-11,1.3403481941076083
2023-09-12,1.343119673714113
2023-09-13,1.3445794517339686
2023-09-14,1.3520517397607565
2023-09-15,1.3532902763447467
2023-09-18,1.344691526852244
2023-09-19,1.3465469946919972
2023-09-20,1.3419625112045084
2023-09-21,1.3316308850354797
2023-09-22,1.3372838757518946
2023-09-25,1.3371148597549987
2023-09-26,1.3290867536599067
2023-09-27,1.3221984292452253
2023-09-28,1.3276791792305425
2023-10-09,1.3142669613710627
2023-10-10,1.3037029774873192
2023-10-11,1.305849531581903
2023-10-12,1.3096663849834893
2023-10-13,1.3223815010189717
2023-10-16,1.3367979565138541
2023-10-17,1.3371344082008647
2023-10-18,1.3480986266448953
2023-10-19,1.3448797430663229
2023-10-20,1.3571005694096125
2023-10-23,1.3419000038357995
2023-10-24,1.3347045803291278
2023-10-25,1.3260661600307726
2023-10-26,1.3381690165677527
2023-10-27,1.3372639028376418
2023-10-30,1.3257855126640077
2023-10-31,1.3317849719316106
2023-11-01,1.3286919865069007
2023-11-02,1.334068057412832
2023-11-03,1.334926770342787
2023-11-06,1.3270502802878021
2023-11-07,1.3244515284891258
2023-11-08,1.3183175207590256
2023-11-09,1.319138472960198
2023-11-10,1.3256776971449202
2023-11-13,1.3207727650907466
2023-11-14,1.3272068080701533
2023-11-15,1.3325790661353267
2023-11-16,1.328648735278423
2023-11-17,1.3250823988113003
2023-11-20,1.319619957963085
2023-11-21,1.320104397983765
2023-11-22,1.3148678725169258
2023-11-23,1.3128570478579307
2023-11-24,1.3153230802252462
2023-11-27,1.313295491515223
2023-11-28,1.3156615518416823
2023-11-29,1.3205548913096539
2023-11-30,1.3245276398255583
2023-12-01,1.325220870627778
2023-12-04,1.3272074111824537
2023-12-05,1.3138125513358245
2023-12-06,1.3136168651113487
2023-12-07,1.3134510350598252
2023-12-08,1.3148030434734455
2023-12-11,1.3114955794258834
2023-12-12,1.3179103575323252
2023-12-13,1.3202460993485376
2023-12-14,1.3312768416436553
2023-12-15,1.3220132677429293
2023-12-18,1.329411313368133
2023-12-19,1.3308754959248483
2023-12-20,1.3360458413670624
2023-12-21,1.3306234051409473
2023-12-22,1.3358967623871796
2023-12-25,1.3350352880401721
2023-12-26,1.3370344534888965
2023-12-27,1.3442389960033467
2023-12-28,1.3368463134549136
2023-12-29,1.3309356174082116
2024-01-02,1.3355839972166332
2024-01-03,1.3313300741412406
2024-01-04,1.3410590939673572
2024-01-05,1.3379170727855505
2024-01-08,1.3352893560277381
2024-01-09,1.3399823906677812
2024-01-10,1.3357887446879124
2024-01-11,1.3362200824089763
2024-01-12,1.342841658598572
2024-01-15,1.3477726374240915
2024-01-16,1.3460172594077757
2024-01-17,1.3382243835219718
2024-01-18,1.3365962879782378
2024-01-19,1.3422759327949698
2024-01-22,1.3531983695243288
2024-01-23,1.3490452827066708
2024-01-24,1.3564607455261857
2024-01-25,1.3551130534933415
2024-01-26,1.3605997039059978
2024-01-29,1.3702571783389863
2024-01-30,1.3745788054926062
2024-01-31,1.3702247181853717
2024-02-01,1.3664558653547638
2024-02-02,1.378630371133541
2024-02-05,1.385042077127036
2024-02-06,1.3868592289272559
2024-02-07,1.3780948137659992
2024-02-08,1.382500302335725
2024-02-19,1.386150146390856
2024-02-20,1.3918833038968663
2024-02-21,1.3920870658580908
2024-02-22,1.3982278185692574
2024-02-23,1.4063185958100326
2024-02-26,1.3932415781647722
2024-02-27,1.3907901805746419
2024-02-28,1.3857991909535945
2024-02-29,1.3904157130914578
2024-03-01,1.4012566875069377
2024-03-04,1.4150065257963524
2024-03-05,1.4220751769800453
2024-03-06,1.4200101251149926
2024-03-07,1.4228379613457671
2024-03-08,1.4316580672102102
2024-03-11,1.4250735946379451
2024-03-12,1.4213611599339755
2024-03-13,1.421285528504008
2024-03-14,1.4215117192119644
2024-03-15,1.423009244922861
2024-03-18,1.4227322209442015
2024-03-19,1.4194418835470872
2024-03-20,1.4248038170982336
2024-03-21,1.4404740019288742
2024-03-22,1.431866268492645
2024-03-25,1.4325383659474256
2024-03-26,1.4370267079466177
2024-03-27,1.437176497018295
2024-03-28,1.4396408073932465
